Image_Method , ErrorScore
aloe_BM , 0.39385720615228814
aloe_SGBM , 0.3136116209886702
art_BM , 0.7544105256335473
art_SGBM , 0.4076258992805755
baby_BM , 0.30561154374713695
baby_SGBM , 0.30554283096655976
bowling1_BM , 0.9175114411536137
bowling1_SGBM , 0.36456264571280544
bowling2_BM , 0.40977975718382037
bowling2_SGBM , 0.3625770239765725
lines_BM , 0.27185605141886976
lines_SGBM , 0.12901103565365024
teddy_BM , 0.3337125925925926
teddy_SGBM , 0.31261037037037037
box_BM , 0.9467712962962963
box_SGBM , 0.674062037037037
cat_BM , 0.8335337962962963
cat_SGBM , 0.5182819444444444
cup_BM , 0.17680138888888888
cup_SGBM , 0.43917685185185185
cups_BM , 0.8924277777777778
cups_SGBM , 0.44271342592592594
globe1_BM , 0.9822777777777778
globe1_SGBM , 0.4473962962962963
globe2_BM , 0.9677111111111111
globe2_SGBM , 0.4591263888888889
grapes_BM , 0.6191728091728091
grapes_SGBM , 0.3435810810810811
lilies_BM , 0.8823539308657081
lilies_SGBM , 0.3985500152951973
peaches_BM , 0.9065902777777778
peaches_SGBM , 0.45818055555555554
reflections_BM , 0.36385066666666666
reflections_SGBM , 0.42489866666666665
rock_BM , 0.3700565280816922
rock_SGBM , 0.2812107950401167
roses_BM , 0.8767988165680474
roses_SGBM , 0.4023431952662722
sail_BM , 0.5506541666666667
sail_SGBM , 0.38062407407407406
sphere_BM , 0.9997453703703704
sphere_SGBM , 0.8813027777777778
woods_BM , 0.21679811423765327
woods_SGBM , 0.25644818580218676
